targetGene,N_TFs,RSquared,
MAR1,15,0.712230731,
MAR1,15,0.724807189,
MAR2,15,0.519905325,
MAR5,15,0.444111092,
MAR6,15,0.390211904,
MAR7,15,0.634419513,
SEP1,15,0.378056549,
SEP4,15,0.348354217,
SEP5,15,0.406018835,
SEP6,15,0.439845077,
SEP7,15,0.383919612,
SEP8,15,0.554668011,
SEP9,15,0.667817365,
SEP10,0,0.343955038,
A1BG,15,0.277623173,
A2M,10,0.674414217,
AAAS,15,0.318272754,
AADACL3,15,0.36878675,
AAK1,15,0.732881644,
AAMDC,15,0.414833731,
AAMP,15,0.603009267,
AAR2,15,0.416543816,
AARS2,15,0.33289881,
AARSD1,15,0.457109488,
AASDHPPT,15,0.407108234,
AATF,15,0.527501173,
ABAT,15,0.263265346,
ABCA1,14,0.473858336,
ABCA3,15,0.607475222,
ABCA5,15,0.548986349,
ABCB1,13,0.366408475,
ABCB10,13,0.368771284,
ABCB7,8,0.31748994,
ABCB8,15,0.382915261,
ABCC5,15,0.431526111,
ABCD1,15,0.39578073,
ABCD3,15,0.425551422,
ABCE1,4,0.284314534,
ABCF3,15,0.553912501,
ABCG2,15,0.386672603,
ABHD10,15,0.548874207,
ABHD12,15,0.621734673,
ABHD13,15,0.367294946,
ABHD14A,15,0.422035093,
ABHD14B,15,0.322096919,
ABHD16B,15,0.260934039,
ABHD17A,15,0.696748093,
ABHD17B,13,0.424334173,
ABHD17C,15,0.514252465,
ABHD2,15,0.647898259,
ABHD3,15,0.338845244,
ABHD8,15,0.46276067,
ABI1,15,0.448215904,
ABI3,15,0.515588195,
ABI3BP,15,0.719057915,
ABL2,15,0.309982278,
ABLIM1,4,0.369484202,
ABLIM3,15,0.646596853,
ABRACL,15,0.55053078,
ABRAXAS2,15,0.592060419,
ABT1,15,0.562831426,
ACAA2,15,0.301487743,
ACAD8,15,0.309394961,
ACADM,15,0.450662771,
ACADS,15,0.64768294,
ACADSB,15,0.3486695,
ACAP2,15,0.567429596,
ACAP3,15,0.390314103,
ACAT1,15,0.500322451,
ACAT2,15,0.265609278,
ACBD3,15,0.658115352,
ACBD4,15,0.272342049,
ACBD5,15,0.638323773,
ACBD6,15,0.486423105,
ACD,14,0.347019621,
ACE,15,0.550961047,
ACER2,15,0.744974055,
ACER3,15,0.727945633,
ACIN1,15,0.402858275,
ACKR2,15,0.749101852,
ACKR3,15,0.378551058,
ACLY,15,0.417326521,
ACO1,15,0.518165278,
ACO2,15,0.562868263,
ACOT13,15,0.260182221,
ACOT2,15,0.272733968,
ACOT9,15,0.357609812,
ACOX3,15,0.411988104,
ACOXL,15,0.475437547,
ACP1,15,0.394270388,
ACP2,15,0.317198851,
ACP5,15,0.497975845,
ACSF2,15,0.310919272,
ACSL1,15,0.546193351,
ACSS1,15,0.653750601,
ACSS2,15,0.336133968,
ACSS3,3,0.250102708,
ACTB,15,0.816711076,
ACTG1,15,0.359538477,
ACTG2,15,0.379494365,
ACTN1,15,0.738971641,
ACTN4,15,0.255137958,
ACTR10,15,0.493526933,
ACTR1A,15,0.648813644,
ACTR1B,15,0.53241342,
ACTR2,15,0.601593656,
ACTR3,15,0.536713877,
ACTR5,15,0.282175426,
ACVR1,15,0.462926482,
ACVR1B,15,0.304030289,
ACVR2B,15,0.818082364,
ACVRL1,15,0.343052454,
ACY1,15,0.331312649,
ACYP1,15,0.414568005,
ADA,15,0.442866156,
ADA2,15,0.690076796,
ADAM10,15,0.459898817,
ADAM12,15,0.819260663,
ADAM15,15,0.507874984,
ADAM17,15,0.690423553,
ADAM19,15,0.316172383,
ADAM33,15,0.446909812,
ADAM8,15,0.286775495,
ADAM9,15,0.399588303,
ADAMTS1,15,0.76163135,
ADAMTS12,15,0.589019692,
ADAMTS15,15,0.644677226,
ADAMTS18,9,0.427923599,
ADAMTS19,15,0.484342763,
ADAMTS2,15,0.734685067,
ADAMTS3,15,0.458122702,
ADAMTS5,15,0.680833569,
ADAMTS7,15,0.412841776,
ADAMTS8,15,0.46252128,
ADAMTS9,15,0.369282189,
ADAMTSL2,15,0.320971519,
ADAMTSL3,15,0.316286694,
ADAMTSL4,15,0.575016031,
ADAP1,15,0.302948269,
ADAP2,15,0.510534744,
ADAR,15,0.571664442,
ADAT3,15,0.385521156,
ADCY1,10,0.3264012,
ADCY4,15,0.740006767,
ADCY6,11,0.440577283,
ADCY9,15,0.351613702,
ADD3,15,0.58982866,
ADGRA3,15,0.424746981,
ADGRB2,15,0.44718937,
ADGRD1,15,0.314276013,
ADGRE2,15,0.408049269,
ADGRF4,11,0.281871942,
ADGRG1,15,0.574885142,
ADGRG6,15,0.378507268,
ADGRL2,7,0.333733423,
ADH5,15,0.741526741,
ADHFE1,15,0.620124038,
ADI1,15,0.407150282,
ADIPOR1,15,0.488768424,
ADIRF,15,0.335458446,
ADK,15,0.349265065,
ADM,13,0.421538327,
ADNP,15,0.68782482,
ADO,15,0.435397309,
ADORA1,15,0.439268685,
ADORA2B,8,0.283562457,
ADORA3,15,0.492095065,
ADPRH,15,0.361384915,
