"targetGene","N_TFs","RSquared"
"A2M",15,0.842196387484409
"AAAS",15,0.588348559449731
"AACS",15,0.380795375829476
"AADACL3",14,0.552219781368177
"AAK1",15,0.696662589707883
"AAMDC",15,0.31444132370963
"AAMP",15,0.746512473789118
"AAR2",15,0.27851094454737
"AARS",10,0.338206859556258
"AARSD1",15,0.387139402400288
"AASDHPPT",15,0.517685504159327
"AASS",15,0.380466921508508
"AATF",15,0.549879616952898
"AATK",15,0.44667831209647
"ABCA11P",15,0.456937294683996
"ABCA2",15,0.468723159017384
"ABCA3",15,0.546672881484792
"ABCA5",15,0.505958156557932
"ABCA8",15,0.454555838908675
"ABCB1",13,0.421897331374115
"ABCB10",15,0.361525461849187
"ABCB4",10,0.281813987097611
"ABCB8",15,0.460164601036847
"ABCB9",15,0.361122647608998
"ABCC11",5,0.254273142208823
"ABCC4",15,0.328016207739577
"ABCC5",15,0.632728497659478
"ABCD1",15,0.40265869867229
"ABCD3",15,0.306868680723764
"ABCE1",15,0.372214208949523
"ABCF3",15,0.49973653596846
"ABCG1",1,0.264854071985204
"ABCG2",15,0.517611126601185
"ABHD10",15,0.617589405778921
"ABHD11",15,0.284265466376717
"ABHD12",15,0.589554432186556
"ABHD13",15,0.415860804505876
"ABHD14A",15,0.386075554271243
"ABHD14B",15,0.330330301816428
"ABHD15",15,0.269114344214545
"ABHD16B",15,0.479339694435775
"ABHD17A",15,0.750121571823033
"ABHD17B",15,0.299788230567715
"ABHD17C",15,0.65373393618885
"ABHD2",15,0.790832160300773
"ABHD3",15,0.401492895354473
"ABHD5",15,0.579424000565185
"ABHD6",15,0.265829055991343
"ABHD8",15,0.475979923492864
"ABI1",15,0.702251393671168
"ABI2",15,0.33510260345579
"ABI3",15,0.604652907786197
"ABI3BP",15,0.753103171889653
"ABL1",15,0.373271559821195
"ABL2",15,0.583975401520707
"ABLIM1",15,0.559168114351075
"ABLIM3",15,0.365717236408007
"ABRAXAS1",15,0.391945904839911
"ABRAXAS2",15,0.57463838800098
"ABT1",15,0.632197111875919
"ACAA1",15,0.251511958132502
"ACACB",15,0.263771392779984
"ACAD10",15,0.324873796063186
"ACAD11",13,0.373849048114508
"ACAD8",15,0.281614026858035
"ACADL",9,0.321695091887616
"ACADM",15,0.357532278609996
"ACADS",15,0.647857788886934
"ACADSB",15,0.482110132688373
"ACADVL",15,0.58425747020105
"ACAP1",15,0.319628029088028
"ACAP2",15,0.748262534074024
"ACAP3",15,0.390986232390895
"ACAT1",15,0.55115253620671
"ACBD3",15,0.753630098513324
"ACBD4",15,0.32952987629152
"ACBD5",15,0.392846543524184
"ACBD6",15,0.623036972215145
"ACD",15,0.442391964210927
"ACE",15,0.589070961596162
"ACER2",15,0.59739723754917
"ACER3",15,0.764499754292168
"ACIN1",15,0.561803045996075
"ACKR2",15,0.777840861153462
"ACKR3",15,0.372263574655245
"ACLY",15,0.350389117882754
"ACO1",15,0.302780777277583
"ACO2",15,0.502415989448792
"ACOT9",15,0.386929653465252
"ACOX2",15,0.51443220748943
"ACOX3",15,0.425288211190562
"ACOXL",15,0.470115159905183
"ACP1",15,0.355039132949601
"ACP2",15,0.307367002191767
"ACP5",15,0.645382447907041
"ACSBG2",15,0.387445146355449
"ACSF2",15,0.521562222107442
"ACSF3",15,0.341332877863058
"ACSL1",15,0.670900203242005
"ACSL3",13,0.268053980046358
"ACSL4",15,0.734713839769164
"ACSM2B",10,0.310200823197526
"ACSM3",15,0.381128992492567
"ACSS1",15,0.702191484109283
"ACSS2",15,0.345742132442906
"ACTA2",15,0.584185236932068
"ACTB",15,0.777321686794878
"ACTG1",15,0.254419259349126
"ACTG2",15,0.332096070642053
"ACTN1",15,0.645056016181061
"ACTR10",15,0.392476923731921
"ACTR1A",15,0.76113692600824
"ACTR1B",15,0.473515777683022
"ACTR2",15,0.616240861096846
"ACTR3",15,0.479254662768939
"ACTR3C",15,0.631745002923649
"ACTR5",15,0.280679578272357
"ACTR6",15,0.563314953338451
"ACVR1",15,0.66788923409448
"ACVR1B",15,0.300714245204021
"ACVR2B",15,0.818884134590874
"ACVRL1",15,0.325333372385822
"ACY1",15,0.407249788188001
"ACYP1",15,0.322850517620882
"ADA",15,0.505415794680916
"ADA2",15,0.800004403755977
"ADAL",15,0.26633106955221
"ADAM10",15,0.599676958657741
"ADAM12",15,0.792643820613035
"ADAM15",15,0.567171633353494
"ADAM17",15,0.585898502934647
"ADAM28",15,0.624406589448682
"ADAM32",5,0.287921438487331
"ADAM33",15,0.422240163796346
"ADAM8",15,0.536209778356427
"ADAM9",15,0.319491329465391
"ADAMTS1",15,0.70725788890409
"ADAMTS10",14,0.594439711397751
"ADAMTS12",15,0.579297118293518
"ADAMTS15",15,0.720663066981208
"ADAMTS18",15,0.795471320055534
"ADAMTS19",15,0.596634982210365
"ADAMTS2",15,0.846443149157701
"ADAMTS3",15,0.467623804235764
"ADAMTS4",15,0.380902312420347
"ADAMTS5",15,0.670320465034384
"ADAMTS6",15,0.331622530783825
"ADAMTS7",15,0.506793546050227
"ADAMTS9",15,0.783945960379739
"ADAMTSL2",15,0.581625031371053
"ADAMTSL3",15,0.63448537241908
"ADAMTSL4",15,0.601157997546136
"ADAMTSL5",15,0.422341196086144
"ADAP1",15,0.461660301786007
"ADAP2",15,0.557723302587957
"ADAR",15,0.332464542809121
"ADARB1",14,0.438505363588695
"ADAT1",15,0.347024472616469
"ADAT2",15,0.345708487003579
"ADAT3",15,0.510561974164361
"ADCK2",15,0.470960473136445
"ADCK5",15,0.36388646159414
"ADCY1",15,0.435373480352293
"ADCY10",10,0.33598687441769
"ADCY2",7,0.390828097430928
"ADCY4",15,0.888903228606753
"ADCY5",13,0.318579771603763
"ADCY6",15,0.501435978306098
"ADCY7",13,0.296552081447778
"ADCY9",15,0.529513503455395
"ADD1",15,0.583279714887701
"ADD3",15,0.632499923210044
"ADGRA2",15,0.926322593683216
"ADGRA3",15,0.531767579562266
"ADGRD1",15,0.322974600072849
"ADGRE2",15,0.613432856985644
"ADGRF1",11,0.282880201537505
"ADGRF5",15,0.827938496765321
"ADGRG1",15,0.719022325272843
"ADGRG6",15,0.458571512745551
"ADGRL1",15,0.72970143530743
"ADGRL2",15,0.559555070972587
"ADGRV1",13,0.398174836003591
"ADH5",15,0.472674195616155
"ADHFE1",15,0.632713535922165
"ADI1",15,0.397003971291187
"ADIPOR1",15,0.287744083455128
"ADIPOR2",15,0.263568531312222
"ADK",15,0.5881427784825
"ADM",14,0.607272849620545
"ADNP",15,0.693680496941004
"ADNP2",15,0.45381658586383
"ADO",15,0.374989629342956
"ADORA1",15,0.486114139907307
"ADORA3",15,0.639504246586527
"ADPGK",12,0.462952171992006
"ADPRH",15,0.438676060585701
"ADPRHL2",15,0.505632712091021
"ADRA2A",15,0.564248016326856
"ADRA2B",7,0.332685357585993
"ADRB1",15,0.797555284872919
"ADRB2",15,0.4729959800785
"ADRB3",15,0.406456012383414
"ADRM1",15,0.689426833864001
"ADSL",15,0.45781563193884
"AEBP1",15,0.702136276969068
"AEBP2",15,0.597426305861876
"AEN",9,0.254382563173166
"AES",15,0.553429460947552
"AFAP1",15,0.608392160255662
"AFAP1L1",15,0.606561836475659
"AFAP1L2",15,0.742722393124556
"AFDN",15,0.462593466896689
"AFF1",15,0.837553820538217
"AFF2",15,0.628259721681471
"AFF3",13,0.250246925355196
"AFF4",15,0.860742953533606
"AFG3L2",15,0.42124370223773
"AFMID",15,0.332333323907181
"AFTPH",15,0.751838179092839
"AGAP1",15,0.351471614130259
"AGAP2",15,0.683148912581453
"AGAP3",15,0.562312297546659
"AGBL5",15,0.420551837819654
"AGFG1",15,0.759079206510902
"AGFG2",15,0.340372831365144
"AGGF1",15,0.534440527138737
